TUDNIVALÓK	TUDNI+VALÓ(K)
ALKALMAZÁSA	ALKALMAZÁSA
különleges	különleges
figyelmeztetések	figyelmeztetések
alkalmazással	alkalmazással
kapcsolatos	kapcsolatos
óvintézkedések	óv+intézkedés(ek)
fogászati	fogászati
kezelés	kezelés
szájsebészeti	száj+sebészet(i)
beavatkozás	beavatkozás
közölje	közölje
fogorvosával	fog+orvos(ával)
Lietuva	Lietuva
Malignitások	Malignitások
klinikai	klinikai
vizsgálatok	vizsgálatok
különbséget	különbséget
figyeltek	figyeltek
Xolair-	Xolair-
csoportban	csoportban
illetve	illetve
kontroll-	kontroll-
kialakuló	kialakuló
daganatos	daganatos
megbetegedések	megbetegedések
pontosan	pontosan
alkalmazza	alkalmazza
Liprolog	Liprolog
kezelőorvosa	kezel|ő+orvos(a)
előírta	előírta
vízmentes	víz+mentes
filmtablettánként	film+tablettÁ(nként)
Agenerase	Agenerase
kapszula	kapszula
vitamint	vitamint
tartalmaz	tartalmaz
további	további
vitamin	vitamin
szedésére	szedésére
szükség	szükség
Felhasználhatósági	Felhasználhatósági
időtartam	idő+tartam
használata	használata
Naglazyme	Naglazyme
beadható	beadható
közvetlenül	közvetlenül
infúziós	infúziós
tartalmazó	tartalmazó
ampullát	ampullát
fecskendőt	fecskendőt
fecskendezze	fecskendezze
oldószert	oldó+szert
ampullába	ampullába
Használat	Használat
Insuman	Insuman
Infusat-	Infusat-
keresztül	keresztül
szobahőmérsékleten	szoba+hőmérséklet(en)
tartani	tartani
fokozatú	fokozatú
bilirubin	bilirubin
emelkedést	emelkedést
betegek	betegek
mellkasban	mell+kas(ban)
súlyosabb	súlyosabb
szívbetegségek	szív+betegség(ek)
beleértve	beleértve
szívinfarktust	szív+infarktus(t)
agyvérzést	agy+vérzés(t)
EPOETIN	EPOETIN
Négyzet	Négyzet
lekerekített	lekerekített
sarkokkal	sarkokkal
Győződjön	Győződjön
felemelő	felemelő
billentyűt	billentyűt
egészen	egészen
lefedett	lefedett
állapotban	állapotban
vizsgálat	vizsgálat
Crixivant	Crixivant
zidovudint	zidovudint
többnek	többnek
csökkent	csökkent
vírusterhelése	vírus+terhelés(e)
kezelést	kezelést
követően	követően
Crixivannal	Crixivannal
kezeltek	kezeltek
Legfeljebb	Legfeljebb
tárolandó	tárolandó
FENTANYL-	FENTANYL-
RATIOPHARM	RATIOPHARM
fokozott	fokozott
elővigyázatossággal	elővigyázatossággal
alkalmazható	alkalmazható
Terhesség	Terhesség
szitaxentán-	szitaxentán-
nátrium	nátrium
terhesség	terhesség
történő	történő
alkalmazásával	alkalmazásával
kapcsolatban	kapcsolatban
rendelkezésre	rendelkezésre
emberre	emberre
vonatkozó	vonatkozó
készítmény	készítmény
hatóanyaga	hat|ó+anyag(a)
nitrogén-	nitrogén-
monoxid	monoxid
Adagjelző	adag+jelző
mitotan	mitotan
emberben	emberben
módosítja	módosítja
kortizol	kortizol
mellékvesén	mellék+vesÉ(n)
metabolizmusát	metabolizmusát
csökkentve	csökkentve
mérhető	mérhető
hidroxi-	hidroxi-
kortikoszteroid	kortikoszteroid
szinteket	szinteket
miközben	miközben
corticosteroid	corticosteroid
szintje	szintje
változik	változik
metilnaltrexon-	metilnaltrexon-
gyakorolt	gyakorolt
RELISTOR	RELISTOR
alkalmazása	alkalmazása
terhességben	terhességben
ajánlott	ajánlott
feltétlenül	feltétlenül
mindegyik	mindegyik
kiszerelés	kiszerelés
kereskedelmi	kereskedelmi
forgalomba	forgalomba
állatgyógyászati	állat+gyógyászat(i)
kullancsok	kullancsok
kifejlett	kifejlett
fertőződésének	fertőződésének
kezelésére	kezelésére
szolgál	szolgál
hatásai	hatásai
gépjárművezetéshez	gép+jármű+vezetés+(hez)
kezeléséhez	kezeléséhez
szükséges	szükséges
képességre	képességre
Amennyiben	Amennyiben
homályossá	homályossá
szedésének	szedésének
vezessen	vezessen
gépjárművet	gépjárművet
kezeljen	kezeljen
gépeket	gépeket
vakcinázás	vakcinázás
rektális	rektális
